Id,Sentimen,Komentar
46,Netral,Klo kita udah diterima langsung beli pelatihan bukan? Cara nya gimana ya
47,Netral,Daftar trosss lolos kagak
48,Netral,@o_o1zhee nah beb
49,Positif,"Bismillah, semoga lolos di tahap 54 ini ya Sob! ☺️"
50,Negatif,Smga lolos yg sekarang 8 kali daftar GK pernah lolos 😢
51,Negatif,"Susah banget saya upload foto 2 MB nya, tutor dong"
52,Negatif,"Saldo elit, beli pelatihan sulit, hmmmm."
53,Netral,"Min mau daftarkan Ade tapi kok bacaannya NIK terdapat di Kementerian Pendidikan, itu maksudnya gimana"
54,Positif,Gelombang 47 hadir 😂
55,Positif,"Bismillah, semoga bisa lolos butuh banget pelatihan buat saya yang pengangguran"
56,Netral,Min kalo KTP nya udah pernah terdaftar itu gimana ya? Soalnya dulu gagal karena pernah dapat bantuan BPJS ketenagakerjaan
57,Positif,Yang Paling semangat Komen. LEMBAGA PELATIHAN 😂😂. WKWKWKWK
58,Negatif,"Penutupan kapan ya, dikasih jadwal pembukaan doang, ntar tiba-tiba udah ditutup aja"
59,Negatif,"Penutupan kapan ya, dikasih jadwal pembukaan doang, ntar tiba-tiba udah ditutup aja"
60,Negatif,Gw jadwalnya tgl 1 cair tp sampe sekarang belum cair-cair ya 😂
61,Negatif,"Semoga lolos yallah, berkali-kali daftar namun tak lolos"
62,Netral,"Min saya sudah ikut gabung 2x gagal terus, apa pengaruh rumah saya yang jauh ada di kampung pedesaan ya min"
63,Negatif,"Kenapa ya min, saya belum pernah dapat tapi NIK sudah terdaftar"
64,Positif,SEMANGATT buat Sobat Prakerja semua! Riska doain semoga kamu bisa lolos di Gelombang 54 ini yaaa!
65,Negatif,"Ga bisa masuk, tulisannya gini terus: Email hanya boleh menggunakan karakter (a-z), nomor (0-9), dan simbol (. dan @)"
66,Netral,@kopi_hidengarut sudah dibuka lagi tuh de @ojiyogi
67,Positif,Alumni gelombang 47 tersenyum melihat ini
68,Negatif,Di dasboard saya kok belum ada pembukaan gelombang baru
69,Netral,Apakah seminar harus zoom?
70,Negatif,Serius sekarang cuma cair 600rb 1x aja? Masih pakai vermuk ga?
71,Positif,Bismillah lolos
72,Negatif,Ga minat min... 😂😂
73,Positif,Bismillah semoga lolos ❤️🤲 lagi butuh banget 🥹
74,Netral,Kalau sudah pernah daftar dulu pas covid bisa ikut lagi ga?
75,Negatif,"Ga bisa gabung gelombang, tulisannya ""Menunggu gelombang ditutup"", itu gimana ya?"
76,Netral,@natt.afrln_
77,Netral,"@rizkitirt.a udah buka itu GK, nyobak kau"
78,Negatif,"Pengalaman saya carilah pelatihan yang sesuai dengan kemampuan anda. Karena pas unjuk tugas PTM, otakmu bisa error mikirin tugasnya..."
79,Netral,"@rivanaazkiya, gek ndang daftar"
80,Negatif,"Pas masuk link prakerja, gelombang belum dibuka padahal di sini katanya sudah dibuka"
81,Netral,Yang melolah sakit kepala 😂😂😂 @lydiariskyy
82,Netral,"Ibu penerima bansos, bapak saya boleh ikut program ini?"
83,Netral,@erly_ria_wulandari
84,Netral,Gass @rrenaldy__ 😂
85,Netral,@andin.taaa
86,Negatif,"Hahahaha, program tidak jelas..."
87,Positif,Bismillah semoga lolos di gel 54. Dari gelombang 1 belum lolos juga :)
88,Negatif,@vokraf emang dapat insentifnya cuma 1 kali aja ya 600 ribu? Bukan 4 kali?
89,Negatif,"Gw nanya gak pernah dijawab jir, kalau misal pelatihan online diwakilkan boleh gak? Alasan, karena yang ikut Prakerja udah berangkat haji"
90,Negatif,"Di dashboard saya gelombang belum ditemukan, padahal infonya sudah dibuka, mohon penjelasannya"
91,Netral,@summeriill @deamailidya
92,Netral,@ramonn66_
93,Netral,@adityaputraw2
94,Netral,@darmahndi_ @diazvrgi
95,Netral,@mfthlhaq
96,Netral,Yang ikutan terus lolos pasti bingung. 😂
97,Netral,Apa Rika milu yu @srinur_hasanah
98,Netral,@happyever4fter__ segera klik
99,Netral,@putrii_anggina
100,Positif,"Sayaaa udah daftar, semoga lulus aminnn"
101,Positif,Semoga kali ini lolos ya min 🤲🤲🤲
102,Positif,Bismillah lolos
103,Negatif,"Udah lulus tapi NIK masih terdaftar di Kemdikbud, itu gimana?"
104,Negatif,"Bismillah dapet punya mamah, punyaku masih terdeteksi perguruan tinggi padahal udah lulus sedih 😢"
105,Netral,@fariedabimanyu0
106,Positif,Bismillah ibu saya ikut 🤲
107,Negatif,"Banyak yang ga lolos, mungkin APBN-nya udah menipis"
108,Netral,@nikinengsisimbolon @len_lennii @melpiym @marthalimbong0 @triasiringoringo @_04cindy
109,Netral,@pmelati340
110,Negatif,AKU SIH NO.
111,Negatif,Ini setelah pendaftaran diterima memang disuruh nunggu sampai gelombangnya ditutup ya min? Atau ada step lain yang harus dilakukan?
112,Positif,Kan ku daftar sampe gelombang 10001 🔥👏 bismillah
113,Netral,@sheva_ardiansah33 gabungo
114,Positif,Semoga kali ini lolos
115,Positif,"Bismillah.. Wish me luck, semoga gelombang sekarang bisa approve 🤲😁"
116,Netral,"Udah klik gelombang, trus gimana lagi ka"
117,Positif,Ikut terus dong pastinya 😁
118,Negatif,Minimal 2 ya min dari satu kartu keluarga????
119,Negatif,"Kalau NIK masih terdaftar di Kemendikbud, apakah harus nunggu ijazah keluar dulu baru status NIKnya ganti?"
120,Negatif,"@vokraf dari dulu gak bisa upload KTP terus, gatau kenapa 🥴"
121,Negatif,"Udah 10 klik gabung, gak pernah lewat 😓"
122,Negatif,UDAH 18 GELOMBANG BELUM LOLOS JUGA 🔥
123,Netral,@netaandrian melu o
124,Negatif,"Masih terdaftar di pendidikan pokok/pendidikan tinggi terus padahal mah lulus sekolah udah, kuliah kagaaa"
125,Netral,"Kalau mau daftar lagi tapi pakai KTP sama dan kakak berbeda, bisa gak min?"
126,Netral,@suryadwiii_
127,Positif,Semoga lolos 🤲🤲
128,Netral,@suryadwiii_
129,Positif,Semoga lolos 🤲🤲
130,Positif,"@yunita_s.n_ ... Pengen daftar ulang lagi boleh kok, adek 😍❤️❤️ Gaaaaaassss kaaannnn?🤝😀"
131,Positif,Alhamdulillah pendaftaran saya diterima
132,Positif,Semoga lolos gelombang 54 💪
133,Positif,Bismillah semoga diterima
134,Positif,Mudah-mudahan lolos penantian panjang 😢
135,Positif,Mudah-mudahan lolos aminnnnnn
136,Netral,Anjayyy
137,Positif,❤️
138,Positif,Bismillah semoga lolos 🤲🙏
139,Positif,Mudah-mudahan 🤲
140,Positif,Soga lolos
141,Positif,❤️
142,Negatif,"Nasib pencairan terakhir yang bulan Desember 2022 bagaimana ya, min? 🥲"
143,Negatif,Nih aja belum cair cair 😢
144,Netral,@syilvia_almaika
145,Netral,@patra.io
146,Negatif,Sekarang udah gak pernah gabung lagi males jadinya heheh
147,Netral,@triharrr_
148,Positif,@_ikeparapak @medi_lolo13 @novianty_parapean @pngkhy_rosie Ayokkk gessssss!!!!!!🙌
149,Netral,Dah mashk
150,Negatif,"1,5 juta x jumlah peserta, mending buka LPK daripada jadi peserta 😂😂"
151,Netral,@fitriyahainunnisa
152,Negatif,Gagal terus min dari gelombang 4
153,Negatif,"Tolong jadwal pelatihan yang gak terlalu jauh biar kita inget, lolos bulan 5 pelatihan bulan 7-8, kalau kita lupa hangus deh 😢😢"
154,Positif,Bismillah
155,Negatif,Bodo amat
156,Negatif,Ga seasik dulu
157,Positif,Bismillahirrahmanirrahim semoga atas nama SAJARONi dan Puji Lestari dari Lampung berhasil lolos Ya Allah Ya Mujibassailiin 🤲
158,Positif,Terus coba lagi sampai ada rezekinya 🤲
159,Netral,@mrs.akarin
160,Netral,Kapan nih Prakerja skema lama diterapkan kembali?
161,Netral,Kok masih ada yang berharap lolos gelombang ini 😂
162,Positif,"Semoga di hari Jum'at yang baik ini menjadi berkah untuk semua, terutama yang mendaftar Kartu Prakerja 😍🙌"
163,Netral,Muka yang berminyak
164,Positif,Bismillah
165,Positif,@rachma7198 cobalah mendaftar dan ikuti petunjuknya
166,Negatif,Gila
167,Negatif,Yahh sepi
168,Negatif,Kenapa saya tidak bisa ikut pak
169,Netral,@indrianipsa @indrayti
170,Positif,Padahal dulu komentar Prakerja ribuan
171,Netral,@defanaufal_
172,Negatif,Oh percuma mengikuti kelas pada bulan Juli-Agustus
173,Netral,@rianafaulia07
174,Positif,Semangat buat teman-teman yang masih berjuang di setiap gelombang 👏👏... Ingat banget dulu mulai ikutan daftar dari gelombang 7 akhirnya lolos di gelombang 11 🔥🔥
175,Netral,@renandstillart47
176,Negatif,"Prakerja bangkrut, guys"
177,Negatif,Tolong jangan dipersulit lagi 😢
178,Negatif,Saya lolos gelombang 53 tapi belum membeli dan belum menemukan pelatihan untuk pendidikan terakhir SD
179,Netral,@yani.frozen
180,Positif,Bismillah lolos 😁
181,Positif,Daftar @mhmmd.nrlakbar
182,Negatif,"Pusing, uang nggak seberapa. Yang didapat pusing. Prakerja sekarang susah. Kalau nggak ngerti mending nggak usah daftar"
183,Negatif,Bukannya senang malah setres
184,Netral,@dian_apriyadid @dndxay00
185,Negatif,"Skema normal membuat tidak normal 😂 Cobain aja, yang gak percaya."
186,Positif,"@massrizal28 daftar saja, ong 😂😂😂"
187,Negatif,Cape min 😢
188,Negatif,"Min mau tanya, kenapa saat log in OTP-nya tidak pernah masuk ke email saya?"
189,Positif,Bismillah lolos
190,Netral,"Wes yang melu, meluo siap-siap ngumet 😂😂😂"
191,Negatif,Ini serius hanya dapat 600 doang?
192,Positif,Bismillah lolos
193,Positif,Setiap Jumat 2 minggu sekali ada gelombangnya. Salam alumni Prakerja ❤️
194,Negatif,Pelatihannya kok pada kosong
195,Negatif,"Gagal terus, jadi males mendaftarnya 😂😂"
196,Positif,Semoga tembus
197,Negatif,"Saya salah memilih. Ketika saya menjadi anggota BUMD saya memilih ya. Padahal saya bukan anggota BUMD. Jadi saat ini saya tidak bisa bergabung ke gelombang 54. Apakah bisa diperbaiki masalah tersebut? Tolong jawab, min"
198,Negatif,Enaknya tahun 2022 wkwkw @zuriyandi 10 akun
199,Negatif,Dari gelombang ke-8 sampai sekarang tidak lolos ☺😌 .. Mungkin belum rezeki
200,Negatif,Gak lolos terus dah 😢
201,Netral,"Tambahkan lagi penerima dalam 1 KK minimal 3 orang, jangan 2 orang lagi"
202,Negatif,Tidak bisa bergabung 😢
203,Positif,"Bismillah, pelatihan webinar dihapus Amin..amin..amin.."
204,Negatif,"Tidak bisa daftar, gagal terus min"
205,Negatif,Tidak bisa daftar karena kesalahan nama ibu 😂 dan tidak bisa di-reset lagi
206,Positif,"Semangat, dapat uang 600k"
207,Positif,"Jumat berkah, semoga kali ini lolos, bismillah"
208,Netral,"Astaga, sudah gelombang 54 saja.. aku dulu daftar di gelombang 3 atau 4 gitu, lupa 😂 sudah lama juga ternyata 😂"
209,Negatif,"Gagal terus, sudah tidak bersemangat lagi. Percuma juga ikut gabung"
210,Negatif,"Udah berharap lebih, eh yang didapat cuma 600 doang. Konyol sih Prakerja tahun ini"
211,Positif,Bismillah lolos
212,Negatif,"Masih tidak lolos, min"
213,Positif,"@fitriida_12, daftar lagi, bestie 🤭"
214,Negatif,"Gesit amat buka, belum juga beli pelatihan pertama karena kelas kosong semua. Sudah buka saja 😢"
215,Negatif,"Berapa kali lu suruh gw foto KTP ulang, dasar bikin repot @prakerja.go.id"
216,Negatif,Tidak lulus terus dari gelombang 20 juga 😂😂
217,Netral,😂
218,Positif,Rajin ya admin @vokraf
219,Netral,@adprntooo @jnuari_tnus @wahyukrisetya_
220,Netral,Gabung gelombang
221,Negatif,Buka sendiri ...mkn sendiri
222,Netral,"Klo tes online tdk lulus bisa daftar lagi ga dan gimana cara daftar nya biar lulus dpt kartu pra kerja gitu, yg tau mohon ksih penjelasan ya"
223,Negatif,"Ada yang tau knapa nama ibu kandung gabisa dimasukin ya? Karena memang posisi di KK ibu kandung saya kan udah gaada, jd gmana ya solusinya?"
224,Positif,Alhamdulillah. Gelombang II ke 52 lolos pas lagi hangus hiks karna tadinya sibuk😢
225,Negatif,Percuma buka klo trus dftar gak pernah loloss 😢
226,Netral,@rahmasari.iii
227,Negatif,Pelatihan nya sedikit . Pusing udah lolos ga kebeli pelatihan
228,Netral,@arintaliasari94
229,Negatif,"Asli pusing sekali daftar prakerja tes online nya byk bnget,, sampe kpla pusing"
230,Positif,❤️❤️
231,Netral,@jiii.as
232,Negatif,"Pelatihan nya kok makin menggila min, lulus nya kapan, ikut kelasnya kapan"
233,Netral,@renipinky
234,Netral,@djodyreksanda dah bukaan nih bng
235,Netral,@pinkyhrnda.e
236,Positif,"Semoga yang belum Lulus, Lulus di Gelombang 54 ini 🔥"
237,Negatif,"Lokasi belum diizinkan, lokasi mana lagi yg mau diaktifkan😤😤@prakerja.go.id"
238,Negatif,Dari gelombang 1-53 belum lolos🤣🤣
239,Negatif,Bismillahirrahmanirrahim semoga di gelombang 54 lolos🙌 dari gelombang 12 sampai 54 belom pernah lolos😢😢😢
240,Netral,Sebenarnya siapa sih yang lolos ini?
241,Negatif,GELOMBANG 🌊 TSUNAMI MINN ??
242,Positif,Semoga lolos amiin
243,Negatif,Aihh malas aku 🤣🤣🤣
244,Netral,Pelatihan di kerjakan orang bisa ga?
245,Negatif,Knpa saya gk bisa ikut glombang ya
246,Negatif,ini yg ke 54kali saya gabung kalo masih ggal emg keterlaluan...setiap ada pembukan gelombang ada notifikasi di email....di suruh gabung tpi ujung2 nye zonk
247,Positif,"Alumni gelombang 7,wkwk"
248,Negatif,Tolong lah lembaga kursus nya di ACC... Kelas habis.. 😢
249,Netral,Info pembelian pelatihan dong penuh semua
250,Positif,Done...
251,Positif,"Dari gelombang 48 sampai 53 .. semoga gelombang 54 lolos ,🤲🤲🤲"
252,Positif,"Coba lagi semoga lolos dah kali ini,, ikut dr gelombang 51"
253,Negatif,Aku dri 1 smpe skrg blm llus2😢
254,Positif,Udah 3 kali gagal moga aja yg ini lolos
255,Netral,ada jln alternatif gak cara beli pelatihan
256,Netral,Setiap daftr pasti alamt email sudah terdftr
257,Positif,"Alumni gelombang 5, kaget bet udh gelombang 54, semangat yg blom dapet"
258,Netral,@siskia_azhari
259,Negatif,Itu testnya gak diulang lagi ya kak?
260,Netral,Klen ngapai ngundi nasib disini
261,Positif,Alumni gelombang 32 😂
262,Negatif,Tetangga saya banyak yang lolos ...tap di biarin aja samapai hngus 😂 habis beli pelatihan nya susah ..udah gitu waktu nya gak mendukung banget ...
263,Positif,Cb dong
264,Negatif,Wkwkwkw cuma berhenti di dukcapil. Data ktp tidak sesuai. Aneh bgt 🤣🤣
265,Netral,Daftar @apriliansry
266,Negatif,"Sudah lolos tapi tinggal nunggu pelatihan kerjanya,tapi apalah daya notifikasi pelatihan kerjanya tak ada jadwal kepastian"
267,Negatif,Tumben sepi😂
268,Negatif,Setelah tau susahnya nyari kelas ...akhirnya males mau daftar..mana lg btuh kuota buat webinar..dh ga minat..mksh
269,Negatif,Gagal mulu padahal sy blm bkrja.. Blm nikah.. Malah d sebut penerima bansos aneh...
270,Negatif,Saya kok gabisa gabung yah
271,Negatif,Lelah. Gk pernah lolos
272,Netral,Gabung
273,Netral,Kalau sudah dapat di gelombang 7 apakah bisa dapat lagi di gelombang sekarang
274,Netral,"Min kalo dulu 2021 udh pernah dapet 1 kali, coba kedua kali bisa ndak min"
275,Negatif,udah lolos malah di biarkan ? karna gak ngerti cara nya. kalau belajar cara nya mending gue belajar yg lian 😂😂😂😂
276,Positif,mudah an lolos di glombang skrng
277,Netral,@virgoomhs_ @sidiqpurwantoo @mhmdnizar07
278,Netral,PELATIHANNYA KAYAK DULU DONG..BIAR PUN INSENTIFNYA 1X DOANG
279,Netral,Min kalo sudah diterima tinggal.nunggu apa lagi min.. berarti lolos apa belum
280,Negatif,Prakerja. Klo salah masukin ktp gmana kok gak bsa diganti
281,Netral,@itsmetaroo__
282,Negatif,Saya gak bisa ganti nomer HP
283,Negatif,Bodoamatlah
284,Netral,pengumuman yg lolos kapan ya min
285,Positif,🔥🔥🔥
286,Negatif,Apakah loloz =hangus sekarang min😂
287,Netral,Hm
288,Negatif,mau ikut glombang tapi nik masih terdaftar di kementrian pendidikan blom diperbarui
289,Negatif,Prakerja sepii🤣
290,Negatif,min mnding d ubah pelatihan nya jgn trlalu d persulit
291,Negatif,"GAK BISA UPLOAD FOTONYA NIH, KATANYA FORMAT TIDAK DIDUKUNG, TAPI PAS SAYA CEK FORMATNYA UDAH BENER KOK"
292,Negatif,Sy udh 10 x gagal malah😂
293,Positif,Pertama daftar....mudahan2 lolos...amin...amin...amin...
294,Negatif,Gw ga pernah lolos😢
295,Negatif,Buka 3 hr bkn min
296,Positif,Semoga yg ke3 lolos
297,Netral,Cara ganti no hp yang terdaftar gimana? Soalnya dah mati
298,Negatif,Gaa lolos terus
299,Positif,Semoga di gel 54 bisa lolos🔥
300,Netral,@alifiakholifah_ Ndang gabung
301,Positif,Alhamdulillah gelombang 53 kemarin lolos setelah menunggu 3 tahun🤭
302,Negatif,Lmyn nyerah akibat gagal trs dr gelombang awal😌ngg tau salah d mana
303,Negatif,Parah prakerja saya dari gelombang 12 belum pernah lolos..yg bener dong admin nya
304,Positif,Semoga saya Lolo yaallah aminnn🥹
305,Positif,Mudah mudahan lolos Minggu jngn smpe gagal lagi...
306,Negatif,"Kelas SD dulu banyakin baru buka gelombang, kelas pelatihan penuh koq maen buka2/aja😂"
307,Negatif,"Aku Uda klik gabung🤭,,pasti gagal lagi🤭🤭"
308,Negatif,Bodo amat ah
309,Positif,Bismilah semoga lolos
310,Negatif,Program dari presiden pro rakyat dirubah oleh kebijakan oligarki
311,Netral,Ikut trs walau gx lolos trs
312,Negatif,Capek capek daftar ujung ujungnya gak pernah dapat ya sama aja
313,Netral,@sasajoliee
314,Positif,"dr gel 1 sampe 17 ane gagal , dr 17 k 53 udah ga kpikiran , skrg coba gabung gel 54 bismillah.."
315,Positif,@ummahamimah betul kaka
316,Positif,Gua yang lolos gel 52 aja blum mulai kelasnya ini mlah udh naik aja gelombang nya 😂
317,Negatif,udah 9x ikut gagal maning. cb ikut lg yg gelombg 54 sapa tau genep jd 10x gagal👏
318,Negatif,Udh daftarin adeku blm masuk2 udh 3 kali gagal ..
319,Negatif,"cari kelas ny lama bener waktu nya min,1 bulan baru pelatihan kan stress itu nama nya gak masuk di logika"
320,Netral,@titinsartk_
321,Negatif,Dari gelombang pertama sampe gelombang 54 gak pernah lolos 😅 punya masalah pribadi kaya nya nii
322,Negatif,"Cape anj, gelombang 1 - 100 ga lolos 😂"
323,Negatif,Apa gak jelas
324,Positif,❤️
325,Negatif,"Yg cair sekarang lembaga pelatihannya, dlu harga kelas paling 400-700 aja, skrng 1.5 pling murah😂😂"
326,Negatif,Parah
327,Negatif,Sama sekali gak worth itu
328,Netral,Cara dftar nya gmana kak?
329,Negatif,ku adu lagi yg ke 18 kalinya denibudhi11@yahoo.com tandai
330,Negatif,Survei evaluasi kok koneksi bermasalah terus min?
331,Negatif,"Dapet cuma 600rb 1x, pantengin hp webinar 5 HARI BERTURUT-TURUT! Sekali webinar 2-3 jam! 😂😂😂"
332,Negatif,Daftrnya susah bangeet
333,Negatif,Udah buka lagi aja min? Aku lulus gelombang 53 dapet slot webinar akhir Agustus 😢
334,Negatif,Kenapa lulusan SD susah banget lolosnya kak🤣🤣
335,Negatif,Mulai dari gel 8 sampai 53 zonk terus untuk lulusan SD🤣🤣
336,Netral,@rioazzani
337,Netral,Kelas sd dan smp
338,Netral,Kelas sd dan smp
339,Negatif,sekarang pelatihan cepat penuh ya sulit .. lama lama goshong akunnku
340,Negatif,beli pelatihannya susah bgt😩😩😩
341,Negatif,"Saya sudah lulus SMA dan ga sedang kuliah di kedinasan juga ga jadi ikut tes, tapi kanapaa nik saya masih terdaftar di kemendikbud ya kak?"
342,Negatif,Udah gabung 6x gak lolos trus min 😢 bismillahirrahmanirrahim semoga lolos gelombang 54
343,Negatif,Obral aja Min biar laku
344,Negatif,😢😢😢😢gagall terus
345,Negatif,Mulai gelombang 10 sampai gelombang ini gak pernah lolos njirr
346,Negatif,"Aku juga gak ngerti gimana caranya, maen gabung2 aja maklum baru daftar 😂😂😂"
347,Negatif,"Mangkin susah prakerja sekarang,harus ikut zoom,kami selaku yg tidak ada waktu untuk ikut zoom merasa kecewa sama prakerja sekarang,dan merasah di persulit"
348,Negatif,Gagal login terysss
349,Negatif,"Ngga pernah lolos ni min, sampe males mau ikutan lagi pasti ujungnya juga ngga lolos"
350,Negatif,"Tahun depan prakerja udah ga ada krna ganti pemerintahan,saldo nya masih lumayan,kalau nominal nya Kya yg sebelum nya kasian pegawai prakerja pesangon nya dikit,sampe sini paham😅😆🤣"
351,Netral,@tarminbaker
352,Netral,@ikadmk98
353,Netral,@syifanr.5
354,Positif,Makasih
355,Negatif,"sekarang makin sulit, duit dapat nya jadi 600k"
356,Negatif,Ga pernah dapat udah 20x lebih daftar ikutan
357,Netral,"enggak juga kalau bikin pusing, namanya juga belajar,,,,,"
358,Netral,@vokraf gimana kabar 27 mei
359,Netral,@yankharieogani
360,Netral,😮
361,Negatif,Untuk NTB sudah ditiadakan 🙃
362,Negatif,Ada gak sih yang dari gelombang 1-53 gak lolos
363,Negatif,Daftar dari gelombang 20 gak pernah lolos emng belum rezeki
364,Negatif,"Min, info dong cara sambung rekening, punya kawan ku udah coba sambung semua tapi gak bisa juga, kata nya nama gak sesuai rekening sama akun prakerja 😢 udah dia email k email rekening tujuan tapi gak ada tanggapan"
365,Netral,@kelvinantonius04
366,Negatif,baru kali ini daftar subsidi yang ga tepat sasara PADA BANGGA. bangsa TERKUTUK
367,Negatif,"Admin didashboard saya tertulis gelombang tidak di temukan padahal sesuai info gelombang baru (54) sudah di buka, apa masalahnya?"
368,Negatif,Semoga dapat untuk kakak ipar udah 3x gagal terus
369,Negatif,saya 3x gelombang tdk masuk.. semoga gelombang ini masuk.
370,Negatif,"Dana prakerja dibesarin agar bisa ngambil pelatihan bnyak,ilmunya mkin bertambah tapi kenyataan dilapangan kenapa lembga cuma nyediaiin sedikit itupun jdwalnya sangat jauh dan pelatihannya ituitu aja gaada yg baru? Akhirnya dana angus, ilmupun gadapat ! @prakerja.go.id tolong benahi lagi, masukan masyarakat di dengar @airlanggahartarto_official"
371,Negatif,Kasih yang bener2 butuh min hadeh..gagal mulu
372,Negatif,info pelatihan Pndidikan Min. SD sdh hbs apa akn ada lgi
373,Netral,Up di tiktok biar keliatan pak @jokowi
374,Negatif,"FYI, yg mahasiswa jangan harap dapet wkw"
375,Negatif,Lolos = hangus
376,Positif,Sudah klik gabung min. Bismillah semoga bisa lolos aamiin😍
377,Netral,Buat disabilitas tuna rungu bisa gak y min
378,Negatif,Ga mau
379,Netral,Bismillah
380,Netral,@agnessintya_
